ID            : 11000
TypeExp       : DIJET
TypeTheo      : CMS_RSIG_ETA
TypeCurrent   : DUMMYALL
A1            : 1
A2            : 1
Z1            : 1
Z2            : 1
KinVar        : [BIN, PTAVEmin, PTAVEmax, ETADIJETmin, ETADIJETmax ]

BIN	PTAVEmin	PTAVEmax	ETADIJETmin	ETADIJETmax	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.000	55.000	75.000	-2.915	-2.633	0.00063	0.00080	0.00028	0.00028	0.34315	0.34315
1.000	55.000	75.000	-2.633	-2.070	0.01340	0.01587	0.00140	0.00140	3.09906	3.09906
2.000	55.000	75.000	-2.070	-1.788	0.05060	0.05427	0.00226	0.00226	2.65324	2.65324
3.000	55.000	75.000	-1.788	-1.507	0.09020	0.09203	0.00190	0.00190	0.92682	0.92682
4.000	55.000	75.000	-1.507	-1.225	0.13500	0.13435	0.00215	0.00215	0.09135	0.09135
5.000	55.000	75.000	-1.225	-0.943	0.18170	0.18187	0.00158	0.00158	0.01099	0.01099
6.000	55.000	75.000	-0.943	-0.662	0.22810	0.22527	0.00136	0.00136	4.32599	4.32599
7.000	55.000	75.000	-0.662	-0.380	0.26720	0.26313	0.00163	0.00163	6.23728	6.23728
8.000	55.000	75.000	-0.380	-0.098	0.29870	0.29628	0.00184	0.00184	1.72695	1.72695
9.000	55.000	75.000	-0.098	0.183	0.32090	0.31717	0.00282	0.00282	1.74909	1.74909
10.000	55.000	75.000	0.183	0.465	0.32900	0.32977	0.00300	0.00300	0.06625	0.06625
11.000	55.000	75.000	0.465	0.747	0.32370	0.32593	0.00355	0.00355	0.39570	0.39570
12.000	55.000	75.000	0.747	1.028	0.30960	0.31193	0.00268	0.00268	0.75223	0.75223
13.000	55.000	75.000	1.028	1.310	0.28040	0.28258	0.00184	0.00184	1.39365	1.39365
14.000	55.000	75.000	1.310	1.592	0.24160	0.24017	0.00211	0.00211	0.45821	0.45821
15.000	55.000	75.000	1.592	1.873	0.19180	0.19049	0.00180	0.00180	0.53084	0.53084
16.000	55.000	75.000	1.873	2.437	0.11136	0.11005	0.00111	0.00111	1.39387	1.39387
17.000	55.000	75.000	2.437	3.000	0.02540	0.02541	0.00142	0.00142	0.00003	0.00003
18.000	75.000	95.000	-2.633	-2.070	0.00478	0.00647	0.00082	0.00082	4.30673	4.30673
19.000	75.000	95.000	-2.070	-1.788	0.02930	0.03628	0.00202	0.00202	11.90540	11.90540
20.000	75.000	95.000	-1.788	-1.507	0.06610	0.07310	0.00255	0.00255	7.54098	7.54098
21.000	75.000	95.000	-1.507	-1.225	0.11630	0.12077	0.00212	0.00212	4.44682	4.44682
22.000	75.000	95.000	-1.225	-0.943	0.16920	0.17076	0.00170	0.00170	0.83757	0.83757
23.000	75.000	95.000	-0.943	-0.662	0.22220	0.22174	0.00135	0.00135	0.11557	0.11557
24.000	75.000	95.000	-0.662	-0.380	0.26990	0.26678	0.00149	0.00149	4.39957	4.39957
25.000	75.000	95.000	-0.380	-0.098	0.30980	0.30530	0.00225	0.00225	4.01270	4.01270
26.000	75.000	95.000	-0.098	0.183	0.33280	0.33364	0.00286	0.00286	0.08694	0.08694
27.000	75.000	95.000	0.183	0.465	0.34840	0.34473	0.00323	0.00323	1.28671	1.28671
28.000	75.000	95.000	0.465	0.747	0.34840	0.34374	0.00314	0.00314	2.20615	2.20615
29.000	75.000	95.000	0.747	1.028	0.32930	0.32565	0.00295	0.00295	1.52770	1.52770
30.000	75.000	95.000	1.028	1.310	0.29260	0.29376	0.00273	0.00273	0.18112	0.18112
31.000	75.000	95.000	1.310	1.592	0.25080	0.24892	0.00172	0.00172	1.19248	1.19248
32.000	75.000	95.000	1.592	1.873	0.19630	0.19500	0.00135	0.00135	0.93813	0.93813
33.000	75.000	95.000	1.873	2.437	0.10840	0.10727	0.00149	0.00149	0.58166	0.58166
34.000	75.000	95.000	2.437	3.000	0.02085	0.02102	0.00085	0.00085	0.03992	0.03992
35.000	95.000	115.000	-2.633	-2.070	0.00148	0.00216	0.00036	0.00036	3.53264	3.53264
36.000	95.000	115.000	-2.070	-1.788	0.01600	0.02070	0.00140	0.00140	11.22917	11.22917
37.000	95.000	115.000	-1.788	-1.507	0.04740	0.05420	0.00192	0.00192	12.50523	12.50523
38.000	95.000	115.000	-1.507	-1.225	0.09670	0.10231	0.00184	0.00184	9.27095	9.27095
39.000	95.000	115.000	-1.225	-0.943	0.15540	0.15979	0.00168	0.00168	6.86518	6.86518
40.000	95.000	115.000	-0.943	-0.662	0.21726	0.21722	0.00103	0.00103	0.00137	0.00137
41.000	95.000	115.000	-0.662	-0.380	0.27325	0.26859	0.00115	0.00115	16.56692	16.56692
42.000	95.000	115.000	-0.380	-0.098	0.31840	0.31399	0.00244	0.00244	3.27365	3.27365
